Starting ALU Testbench...
op=000, A=10, B=14 => Y=1000, C=1, OVF=0, Z=0, S=1
op=000, A=10, B=15 => Y=1001, C=1, OVF=0, Z=0, S=1
op=000, A=11, B= 0 => Y=1011, C=0, OVF=0, Z=0, S=1
op=000, A=11, B= 1 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A=11, B= 2 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A=11, B= 3 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A=11, B= 4 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A=11, B= 5 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A=11, B= 6 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A=11, B= 7 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A=11, B= 8 => Y=0011, C=1, OVF=1, Z=0, S=0
op=000, A=11, B= 9 => Y=0100, C=1, OVF=1, Z=0, S=0
op=000, A=11, B=10 => Y=0101, C=1, OVF=1, Z=0, S=0
op=000, A=11, B=11 => Y=0110, C=1, OVF=1, Z=0, S=0
op=000, A=11, B=12 => Y=0111, C=1, OVF=1, Z=0, S=0
op=000, A=11, B=13 => Y=1000, C=1, OVF=0, Z=0, S=1
op=000, A=11, B=14 => Y=1001, C=1, OVF=0, Z=0, S=1
op=000, A=11, B=15 => Y=1010, C=1, OVF=0, Z=0, S=1
op=000, A=12, B= 0 => Y=1100, C=0, OVF=0, Z=0, S=1
op=000, A=12, B= 1 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A=12, B= 2 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A=12, B= 3 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A=12, B= 4 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A=12, B= 5 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A=12, B= 6 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A=12, B= 7 => Y=0011, C=1, OVF=0, Z=0, S=0
op=000, A=12, B= 8 => Y=0100, C=1, OVF=1, Z=0, S=0
op=000, A=12, B= 9 => Y=0101, C=1, OVF=1, Z=0, S=0
op=000, A=12, B=10 => Y=0110, C=1, OVF=1, Z=0, S=0
op=000, A=12, B=11 => Y=0111, C=1, OVF=1, Z=0, S=0
op=000, A=12, B=12 => Y=1000, C=1, OVF=0, Z=0, S=1
op=000, A=12, B=13 => Y=1001, C=1, OVF=0, Z=0, S=1
op=000, A=12, B=14 => Y=1010, C=1, OVF=0, Z=0, S=1
op=000, A=12, B=15 => Y=1011, C=1, OVF=0, Z=0, S=1
op=000, A=13, B= 0 => Y=1101, C=0, OVF=0, Z=0, S=1
op=000, A=13, B= 1 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A=13, B= 2 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A=13, B= 3 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A=13, B= 4 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A=13, B= 5 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A=13, B= 6 => Y=0011, C=1, OVF=0, Z=0, S=0
op=000, A=13, B= 7 => Y=0100, C=1, OVF=0, Z=0, S=0
op=000, A=13, B= 8 => Y=0101, C=1, OVF=1, Z=0, S=0
op=000, A=13, B= 9 => Y=0110, C=1, OVF=1, Z=0, S=0
op=000, A=13, B=10 => Y=0111, C=1, OVF=1, Z=0, S=0
op=000, A=13, B=11 => Y=1000, C=1, OVF=0, Z=0, S=1
op=000, A=13, B=12 => Y=1001, C=1, OVF=0, Z=0, S=1
op=000, A=13, B=13 => Y=1010, C=1, OVF=0, Z=0, S=1
op=000, A=13, B=14 => Y=1011, C=1, OVF=0, Z=0, S=1
op=000, A=13, B=15 => Y=1100, C=1, OVF=0, Z=0, S=1
op=000, A=14, B= 0 => Y=1110, C=0, OVF=0, Z=0, S=1
op=000, A=14, B= 1 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A=14, B= 2 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A=14, B= 3 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A=14, B= 4 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A=14, B= 5 => Y=0011, C=1, OVF=0, Z=0, S=0
op=000, A=14, B= 6 => Y=0100, C=1, OVF=0, Z=0, S=0
op=000, A=14, B= 7 => Y=0101, C=1, OVF=0, Z=0, S=0
op=000, A=14, B= 8 => Y=0110, C=1, OVF=1, Z=0, S=0
op=000, A=14, B= 9 => Y=0111, C=1, OVF=1, Z=0, S=0
op=000, A=14, B=10 => Y=1000, C=1, OVF=0, Z=0, S=1
op=000, A=14, B=11 => Y=1001, C=1, OVF=0, Z=0, S=1
op=000, A=14, B=12 => Y=1010, C=1, OVF=0, Z=0, S=1
op=000, A=14, B=13 => Y=1011, C=1, OVF=0, Z=0, S=1
op=000, A=14, B=14 => Y=1100, C=1, OVF=0, Z=0, S=1
op=000, A=14, B=15 => Y=1101, C=1, OVF=0, Z=0, S=1
op=000, A=15, B= 0 => Y=1111, C=0, OVF=0, Z=0, S=1
op=000, A=15, B= 1 => Y=0000, C=1, OVF=0, Z=1, S=0
op=000, A=15, B= 2 => Y=0001, C=1, OVF=0, Z=0, S=0
op=000, A=15, B= 3 => Y=0010, C=1, OVF=0, Z=0, S=0
op=000, A=15, B= 4 => Y=0011, C=1, OVF=0, Z=0, S=0
op=000, A=15, B= 5 => Y=0100, C=1, OVF=0, Z=0, S=0
